Updated,Type,Module,Source,F/P,Data
2025-06-17 08:34:42,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,14gamba.com,0,"   Domain Name: 14GAMBA.COM
   Registry Domain ID: 2991923134_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.registrar.amazon
   Registrar URL: http://registrar.amazon.com
   Updated Date: 2025-06-15T14:32:31Z
   Creation Date: 2025-06-15T14:22:22Z
   Registry Expiry Date: 2026-06-15T14:22:22Z
   Registrar: Amazon Registrar, Inc.
   Registrar IANA ID: 468
   Registrar Abuse Contact Email: trustandsafety@support.aws.com
   Registrar Abuse Contact Phone: +1.2024422253
   Domain Status: ok https://icann.org/epp#ok
   Name Server: NS-1265.AWSDNS-30.ORG
   Name Server: NS-1538.AWSDNS-00.CO.UK
   Name Server: NS-225.AWSDNS-28.COM
   Name Server: NS-603.AWSDNS-11.NET
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2025-06-17T07:34:21Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsor"
2025-06-17 08:34:30,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,7edimusic.com,0,"   Domain Name: 7EDIMUSIC.COM
   Registry Domain ID: 2991882876_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2025-06-15T02:10:52Z
   Creation Date: 2025-06-15T02:10:52Z
   Registry Expiry Date: 2026-06-15T02:10:52Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS45.DOMAINCONTROL.COM
   Name Server: NS46.DOMAINCONTROL.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: "
2025-06-17 08:34:31,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,9dwheels.com,0,"   Domain Name: 9DWHEELS.COM
   Registry Domain ID: 2991926126_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.namesrs.com
   Registrar URL: http://www.namesrs.com
   Updated Date: 2025-06-15T15:06:31Z
   Creation Date: 2025-06-15T15:06:30Z
   Registry Expiry Date: 2026-06-15T15:06:30Z
   Registrar: Name SRS AB
   Registrar IANA ID: 638
   Registrar Abuse Contact Email: abuse@namesrs.com
   Registrar Abuse Contact Phone: +46.313011220
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: NS1.DNS-PARKING.COM
   Name Server: NS2.DNS-PARKING.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2025-06-17T07:34:21Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set "
2025-06-17 08:31:50,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,aemporiumimmobiliare.com,0,"   Domain Name: AEMPORIUMIMMOBILIARE.COM
   Registry Domain ID: 2991932354_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.register.it
   Registrar URL: http://www.register.it
   Updated Date: 2025-06-15T16:35:04Z
   Creation Date: 2025-06-15T16:24:58Z
   Registry Expiry Date: 2026-06-15T16:24:58Z
   Registrar: Register SPA
   Registrar IANA ID: 168
   Registrar Abuse Contact Email: abuse@register.it
   Registrar Abuse Contact Phone: +39.05520021555
   Domain Status: ok https://icann.org/epp#ok
   Name Server: NS1.REGISTER.IT
   Name Server: NS2.REGISTER.IT
   DNSSEC: signedDelegation
   DNSSEC DS Data: 44718 13 2 0C63B4CCECBC5D1DA64083371DB8E5552BFB606AD49AEFA87C827003A9D0E691
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2025-06-17T07:31:33Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship"
2025-06-17 08:31:42,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,aionlabz.com,0,"   Domain Name: AIONLABZ.COM
   Registry Domain ID: 2991898728_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2025-06-15T07:48:11Z
   Creation Date: 2025-06-15T07:48:10Z
   Registry Expiry Date: 2028-06-15T07:48:10Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS01.DOMAINCONTROL.COM
   Name Server: NS02.DOMAINCONTROL.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2"
2025-06-17 08:31:34,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,akbarbirbal.com,0,"   Domain Name: AKBARBIRBAL.COM
   Registry Domain ID: 2992057003_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2025-06-15T18:31:53Z
   Creation Date: 2025-06-15T18:31:53Z
   Registry Expiry Date: 2035-06-15T18:31:53Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS05.DOMAINCONTROL.COM
   Name Server: NS06.DOMAINCONTROL.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database"
2025-06-17 08:31:38,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,authenticrp.com,0,"   Domain Name: AUTHENTICRP.COM
   Registry Domain ID: 2992102167_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.namesrs.com
   Registrar URL: http://www.namesrs.com
   Updated Date: 2025-06-16T09:07:17Z
   Creation Date: 2025-06-15T21:13:44Z
   Registry Expiry Date: 2026-06-15T21:13:44Z
   Registrar: Name SRS AB
   Registrar IANA ID: 638
   Registrar Abuse Contact Email: abuse@namesrs.com
   Registrar Abuse Contact Phone: +46.313011220
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: KARA.NS.CLOUDFLARE.COM
   Name Server: OLOF.NS.CLOUDFLARE.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2025-06-17T07:31:20Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
curre"
2025-06-17 08:31:31,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,awbtravelsandtours.com,0,"   Domain Name: AWBTRAVELSANDTOURS.COM
   Registry Domain ID: 2991877019_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.namecheap.com
   Registrar URL: http://www.namecheap.com
   Updated Date: 2025-06-15T00:05:06Z
   Creation Date: 2025-06-15T00:05:01Z
   Registry Expiry Date: 2026-06-15T00:05:01Z
   Registrar: NameCheap, Inc.
   Registrar IANA ID: 1068
   Registrar Abuse Contact Email: abuse@namecheap.com
   Registrar Abuse Contact Phone: +1.6613102107
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: DNS1.REGISTRAR-SERVERS.COM
   Name Server: DNS2.REGISTRAR-SERVERS.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2025-06-17T07:31:04Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration"
2025-06-17 08:33:47,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,bking216.com,0,"   Domain Name: BKING216.COM
   Registry Domain ID: 2991931041_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.namecheap.com
   Registrar URL: http://www.namecheap.com
   Updated Date: 2025-06-15T16:09:51Z
   Creation Date: 2025-06-15T16:07:36Z
   Registry Expiry Date: 2026-06-15T16:07:36Z
   Registrar: NameCheap, Inc.
   Registrar IANA ID: 1068
   Registrar Abuse Contact Email: abuse@namecheap.com
   Registrar Abuse Contact Phone: +1.6613102107
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Name Server: ATHENA.NS.CLOUDFLARE.COM
   Name Server: DILBERT.NS.CLOUDFLARE.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois database: 2025-06-17T07:33:19Z <<<

For more information on Whois status codes, please visit https://icann.org/epp

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the regis"
2025-06-17 08:33:59,CO_HOSTED_SITE_DOMAIN_WHOIS,sfp_whois,bsnklawassociate.com,0,"   Domain Name: BSNKLAWASSOCIATE.COM
   Registry Domain ID: 2991895144_DOMAIN_COM-VRSN
   Registrar WHOIS Server: whois.godaddy.com
   Registrar URL: http://www.godaddy.com
   Updated Date: 2025-06-15T06:43:23Z
   Creation Date: 2025-06-15T06:43:23Z
   Registry Expiry Date: 2026-06-15T06:43:23Z
   Registrar: GoDaddy.com, LLC
   Registrar IANA ID: 146
   Registrar Abuse Contact Email: abuse@godaddy.com
   Registrar Abuse Contact Phone: 480-624-2505
   Domain Status: clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited
   Domain Status: clientRenewProhibited https://icann.org/epp#clientRenewProhibited
   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited
   Domain Status: clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited
   Name Server: NS29.DOMAINCONTROL.COM
   Name Server: NS30.DOMAINCONTROL.COM
   DNSSEC: unsigned
   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/
>>> Last update of whois dat"
